nodes	id	label	first_name	last_name	affiliation_name	created_at	updated_at	twitter_username	blog_feed_url	blog_url	alias_list	born_month	crunchbase_url	homepage_url	born_day	born_year
a-douglas-melamed	665268	person	A.	Douglas Melamed	Unaffiliated	Fri Feb 21 06:42:45 UTC 2014	Fri Feb 21 07:04:51 UTC 2014						http://www.crunchbase.com/person/a-douglas-melamed			
a-e-natarajan	665269	person	A.E.	Natarajan	Unaffiliated	Wed Mar 05 08:50:55 UTC 2014	Wed Mar 05 08:58:11 UTC 2014						http://www.crunchbase.com/person/a-e-natarajan			
a-edward-mohebi	665270	person	A.	Edward Mohebi	Unaffiliated	Tue May 08 20:16:31 UTC 2012	Thu May 10 19:11:36 UTC 2012						http://www.crunchbase.com/person/a-edward-mohebi			
a-eugene-washington	665271	person	A.	Eugene Washington	Unaffiliated	Sun Oct 27 07:56:36 UTC 2013	Sun Oct 27 08:59:03 UTC 2013						http://www.crunchbase.com/person/a-eugene-washington			
a-european-angel-syndicate	665272	person	A	European Angel Syndicate	Unaffiliated	Thu Jan 30 12:41:02 UTC 2014	Thu Jan 30 13:02:26 UTC 2014						http://www.crunchbase.com/person/a-european-angel-syndicate			
a-fahmy	665273	person	A.	Fahmy	Unaffiliated	Mon Aug 26 09:29:09 UTC 2013	Mon Aug 26 09:29:09 UTC 2013						http://www.crunchbase.com/person/a-fahmy			
a-faisal-siddiqui	665274	person	A. Faisal	Siddiqui	Unaffiliated	Mon Jan 21 18:42:20 UTC 2013	Tue Jan 22 05:34:29 UTC 2013	afaisalsiddiqui					http://www.crunchbase.com/person/a-faisal-siddiqui			
a-fortes	665275	person	Alberto	Fortes	LaborYou International	Thu Dec 29 11:08:15 UTC 2011	Tue May 29 01:31:16 UTC 2012	albertofs				10	http://www.crunchbase.com/person/a-fortes	http://www.albertofortes.com	31	1977
a-franklin-rice	665276	person	A.	Franklin Rice	Unaffiliated	Mon Jun 15 05:55:26 UTC 2009	Mon Jun 15 06:00:02 UTC 2009						http://www.crunchbase.com/person/a-franklin-rice			
a-frith	665277	person	a	frith	Unaffiliated	Tue Sep 03 19:19:50 UTC 2013	Tue Sep 03 23:18:00 UTC 2013						http://www.crunchbase.com/person/a-frith			
a-fruit	665278	person	A.	Fruit	Unaffiliated	Tue Feb 15 22:16:23 UTC 2011	Thu Feb 17 07:15:32 UTC 2011						http://www.crunchbase.com/person/a-fruit			
a-g-w-biddle-iii	665279	person	A.G.W.	Biddle, III	Unaffiliated	Tue Nov 25 07:09:37 UTC 2008	Mon Dec 09 06:34:45 UTC 2013						http://www.crunchbase.com/person/a-g-w-biddle-iii			
a-george-skip-battle	665280	person	A.	George (Skip) Battle	Unaffiliated	Wed Apr 17 14:43:25 UTC 2013	Wed Apr 17 14:43:25 UTC 2013						http://www.crunchbase.com/person/a-george-skip-battle			
a-guven-onder	665281	person	A.	Guven Onder	Unaffiliated	Tue Jan 01 11:25:46 UTC 2013	Wed Jan 02 02:19:56 UTC 2013						http://www.crunchbase.com/person/a-guven-onder			
a-harrison-barnes	665282	person	A	Harrison Barnes	Unaffiliated	Mon Dec 22 09:59:41 UTC 2008	Tue Dec 23 00:14:59 UTC 2008						http://www.crunchbase.com/person/a-harrison-barnes			
a-heaton-robertson	665283	person	A.	Heaton Robertson	Unaffiliated	Wed Feb 12 04:53:21 UTC 2014	Wed Feb 12 04:53:21 UTC 2014						http://www.crunchbase.com/person/a-heaton-robertson			
a-href-http-www-handd-co-uk-about-handd-business-solutions-history-of-handd-anthony-hodges	665284	person	Anthony	Hodges	Unaffiliated	Wed Oct 10 16:20:04 UTC 2012	Wed Aug 21 18:00:18 UTC 2013						http://www.crunchbase.com/person/a-href-http-www-handd-co-uk-about-handd-business-solutions-history-of-handd-anthony-hodges			
a-href-http-www-handd-co-uk-about-handd-business-solutions-history-of-handd-ian-davin	665285	person	<a	"href=""http://www.handd.co.uk/about-handd-business-solutions/history-of-handd/"">Ian Davin"	Unaffiliated	Wed Oct 10 16:20:35 UTC 2012	Thu Oct 18 02:30:55 UTC 2012						http://www.crunchbase.com/person/a-href-http-www-handd-co-uk-about-handd-business-solutions-history-of-handd-ian-davin			
a-j-altman	665286	person	A.J.	Altman	Unaffiliated	Fri Jun 08 17:36:22 UTC 2012	Wed Jan 29 14:13:04 UTC 2014						http://www.crunchbase.com/person/a-j-altman			
a-j-horst	665287	person	A.J.	Horst	Unaffiliated	Mon Mar 28 19:05:28 UTC 2011	Tue Apr 05 21:46:38 UTC 2011						http://www.crunchbase.com/person/a-j-horst			
a-j-hyland	665288	person	A	J Hyland	Unaffiliated	Sun Aug 09 12:07:29 UTC 2009	Thu Oct 24 13:57:59 UTC 2013						http://www.crunchbase.com/person/a-j-hyland			
a-j-kazimi	665289	person	A.J.	Kazimi	Unaffiliated	Sun Feb 20 17:18:48 UTC 2011	Sun Feb 20 17:18:48 UTC 2011						http://www.crunchbase.com/person/a-j-kazimi			
a-j-lawrence	665290	person	A.J.	Lawrence	The JAR Group	Mon May 03 17:30:58 UTC 2010	Wed May 22 12:01:41 UTC 2013						http://www.crunchbase.com/person/a-j-lawrence			
a-j-lewis	665291	person	A.J.	Lewis	Unaffiliated	Sat Nov 14 06:38:08 UTC 2009	Mon Nov 16 18:01:19 UTC 2009						http://www.crunchbase.com/person/a-j-lewis			
a-j-lewis-2	665292	person	A.J.	Lewis	Unaffiliated	Tue Nov 13 04:33:22 UTC 2012	Wed Nov 14 02:38:17 UTC 2012						http://www.crunchbase.com/person/a-j-lewis-2			
a-j-mccardell	665293	person	A.J.	McCardell	Unaffiliated	Tue Oct 01 06:23:03 UTC 2013	Tue Oct 01 07:14:39 UTC 2013						http://www.crunchbase.com/person/a-j-mccardell			
a-j-mcclary	665294	person	A.J.	McClary	Armedia	Fri Feb 18 16:59:17 UTC 2011	Tue Jun 05 03:14:20 UTC 2012	ajmcclary	http://www.ajmcclary.com/feed	http://www.ajmcclary.com			http://www.crunchbase.com/person/a-j-mcclary	http://www.solarswift.com		
a-j-nassar	665295	person	A.J.	Nassar	Unaffiliated	Mon Jan 28 03:05:45 UTC 2013	Sun Mar 23 05:55:50 UTC 2014						http://www.crunchbase.com/person/a-j-nassar			
a-j-nicholson	665296	person	A	J Nicholson	Unaffiliated	Fri Jul 13 16:05:55 UTC 2012	Sat Jul 14 11:39:51 UTC 2012						http://www.crunchbase.com/person/a-j-nicholson			
a-j-remlinger	665297	person	A.J.	Remlinger	Unaffiliated	Mon Jul 15 22:13:58 UTC 2013	Sat Nov 02 18:22:35 UTC 2013						http://www.crunchbase.com/person/a-j-remlinger			
a-j-robertson	665298	person	A.J.	Robertson	Unaffiliated	Fri May 31 15:35:52 UTC 2013	Fri May 31 20:52:36 UTC 2013						http://www.crunchbase.com/person/a-j-robertson			
a-j-rohan	665299	person	A.J.	Rohan	Unaffiliated	Sun Apr 17 02:03:50 UTC 2011	Mon Apr 18 22:53:04 UTC 2011						http://www.crunchbase.com/person/a-j-rohan			
a-j-rohde	665300	person	A.J.	Rohde	Unaffiliated	Wed Jan 22 06:59:29 UTC 2014	Wed Jan 22 06:59:57 UTC 2014						http://www.crunchbase.com/person/a-j-rohde			
a-j-schwidder	665301	person	A.J.	Schwidder	Unaffiliated	Mon Oct 07 11:41:24 UTC 2013	Mon Oct 07 11:41:24 UTC 2013						http://www.crunchbase.com/person/a-j-schwidder			
a-j-sen	665302	person	A.	J. Sen	Unaffiliated	Tue Apr 20 06:10:07 UTC 2010	Tue Apr 20 06:10:07 UTC 2010						http://www.crunchbase.com/person/a-j-sen			
a-j-steigman	665303	person	A.J.	Steigman	Unaffiliated	Thu Jul 12 20:09:59 UTC 2012	Sat Jun 15 06:15:01 UTC 2013						http://www.crunchbase.com/person/a-j-steigman			
a-j-teague	665304	person	A.	J. Teague	Unaffiliated	Thu Mar 20 05:42:46 UTC 2014	Thu Mar 20 06:22:12 UTC 2014						http://www.crunchbase.com/person/a-j-teague			
a-j-verdecchia	665305	person	A.J.	Verdecchia	Unaffiliated	Tue Jun 12 17:50:57 UTC 2012	Mon Jun 25 03:49:30 UTC 2012	ajverdecchia				9	http://www.crunchbase.com/person/a-j-verdecchia	http://www.linkedin.com/in/ajverdecchia	10	1966
a-j-workman	665306	person	A.J.	Workman	Unaffiliated	Wed May 19 23:33:31 UTC 2010	Fri May 21 16:51:10 UTC 2010						http://www.crunchbase.com/person/a-j-workman			
a-j-yeakel	665307	person	A.J.	Yeakel	Unaffiliated	Mon Sep 24 03:03:38 UTC 2012	Wed Sep 26 23:12:27 UTC 2012						http://www.crunchbase.com/person/a-j-yeakel			
a-james-clark	665308	person	A.	James Clark	Unaffiliated	Wed Nov 13 05:06:57 UTC 2013	Wed Nov 13 05:14:11 UTC 2013						http://www.crunchbase.com/person/a-james-clark			
a-jayaprakash	665309	person	A	Jayaprakash	Unaffiliated	Sat Mar 08 07:27:16 UTC 2014	Sat Mar 08 10:14:10 UTC 2014						http://www.crunchbase.com/person/a-jayaprakash			
a-joe-delgado	665310	person	A.	Joe Delgado	Unaffiliated	Sat Nov 29 19:26:45 UTC 2008	Sat Nov 29 19:49:14 UTC 2008						http://www.crunchbase.com/person/a-joe-delgado			
a-johnson	665311	person	A.	Johnson	Unaffiliated	Tue Feb 04 15:20:14 UTC 2014	Tue Feb 04 18:22:25 UTC 2014						http://www.crunchbase.com/person/a-johnson			
a-joseph-stern	665312	person	A.	Joseph Stern	Unaffiliated	Thu May 30 11:31:34 UTC 2013	Thu May 30 11:41:03 UTC 2013						http://www.crunchbase.com/person/a-joseph-stern			
a-joshua-strickland	665313	person	A.	Joshua Strickland	Unaffiliated	Thu Dec 26 10:21:34 UTC 2013	Thu Dec 26 10:23:10 UTC 2013						http://www.crunchbase.com/person/a-joshua-strickland			
a-k-beejawat	665314	person	A.	K. Beejawat	Unaffiliated	Fri Feb 28 04:05:52 UTC 2014	Fri Feb 28 04:05:52 UTC 2014						http://www.crunchbase.com/person/a-k-beejawat			
a-k-chaudhry	665315	person	A.K	Chaudhry	Unaffiliated	Tue Feb 22 07:08:19 UTC 2011	Tue Feb 22 07:20:04 UTC 2011						http://www.crunchbase.com/person/a-k-chaudhry			
